Time (s),Throttle (µs),Rotation speed (rpm),Thrust (kgf),Torque (N⋅m),Voltage (V),Current (A),Electrical power (W),Mechanical power (W),Motor & ESC efficiency (%),Propeller efficiency (gf/W),Propulsion system efficiency (gf/W),RPM 10^
0,1000,0,0,-3.63E-05,25.18086067,0.056909144,1.433021235,0,0,,,1
4.6250406,1100,1293,0.02491713,0.010412037,25.17582382,0.1685029,4.242199324,1.409817362,33.23317116,17.67401271,5.873634894,#NUM!
8.7502008,1150,2219,0.074122295,0.029941429,25.16728325,0.387369483,9.749037488,6.957583713,71.36687823,10.65345351,7.603037191,#NUM!
12.9005606,1200,3074,0.150460578,0.058041246,25.15379242,0.721217065,18.14134434,18.68397199,102.9911105,8.052922467,8.293794275,#NUM!
17.0499598,1250,3888,0.236729356,0.092485924,25.13140625,1.202909532,30.23080812,37.65568184,124.5606194,6.28668355,7.830731968,#NUM!
21.1750002,1300,4680,0.352299205,0.129369475,25.10114555,1.829644728,45.92617862,63.40248602,138.0530406,5.556551914,7.670988871,#NUM!
25.3001208,1350,5424,0.412309781,0.188713481,25.05742615,2.778696213,69.62697514,107.1892481,153.9478742,3.846559131,5.921696012,#NUM!
29.4271202,1400,6236,0.579457546,0.275954707,25.00111397,4.06455349,101.618365,180.2073626,177.3373962,3.215504283,5.70229157,#NUM!
33.5495208,1450,6947,0.828202348,0.336482636,24.93564392,5.497113342,137.0740609,244.7871269,178.5801962,3.383357446,6.042006366,#NUM!
37.7003202,1500,7619,1.073050452,0.363302372,24.86958313,6.916889095,172.0201484,289.8643632,168.5060535,3.7019054,6.237934694,#NUM!
41.8261602,1550,8243,1.287995548,0.403622371,24.79050537,8.77807663,217.6129558,348.4088251,160.1048172,3.696793695,5.918744786,#NUM!
45.9260804,1600,8908,1.501998449,0.448512742,24.70775696,10.56345139,260.9991895,418.3922318,160.3040349,3.589929103,5.754801202,#NUM!
50.04964,1650,9554,1.755620217,0.530409767,24.58830574,13.12902992,322.8206018,530.6710157,164.385734,3.308302443,5.438377252,#NUM!
54.1771998,1700,10293,2.051317287,0.549143677,24.50526909,14.97962429,367.0797241,591.9112277,161.2486849,3.465582661,5.588206465,#NUM!
58.3009202,1750,10816,2.28372608,0.604758692,24.37496017,17.75807419,432.8523511,684.9792499,158.2477831,3.33400768,5.275993243,#NUM!
62.426241,1800,11344,2.505017976,0.668406737,24.23516029,20.73163368,502.4344654,794.0277016,158.0360736,3.154824411,4.985760628,#NUM!
